Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
14,Sam Dekker\dekkesa01,01/10/17 HOU vs. CHO,21,4,162,2477,353,736,75,260,83,134,147,492,123,74,30,79,167,864,.480,.288,.619,15.3,5.3,3.0,0.8
15,Duje Dukan\dukandu01,04/13/16 SAC @ HOU,24,1,1,24,2,10,2,5,0,0,2,4,1,1,0,0,2,6,.200,.400,,24.0,6.0,4.0,1.0
16,Jarell Eddie\eddieja01,01/11/16 WAS @ CHI,24,3,34,218,26,86,19,65,16,17,3,31,5,7,1,2,6,87,.302,.292,.941,6.4,2.6,0.9,0.1
17,Cristiano Felicio\feliccr01,01/10/17 CHI @ WAS,23,4,168,2555,318,548,0,7,151,225,253,706,131,49,43,111,265,787,.580,.000,.671,15.2,4.7,4.2,0.8
18,Jerian Grant\grantje02,01/1/16 NYK @ CHI,23,4,234,4384,527,1286,147,464,306,395,80,465,714,184,28,249,357,1507,.410,.317,.775,18.7,6.4,2.0,3.1
19,Montrezl Harrell\harremo01,01/10/17 HOU vs. CHO,22,4,192,3223,740,1153,2,15,321,510,252,730,183,88,139,158,370,1803,.642,.133,.629,16.8,9.4,3.8,1.0
20,Aaron Harrison\harriaa01,01/13/16 CHO vs. ATL,21,3,35,343,24,92,12,55,19,31,8,42,16,15,2,7,39,79,.261,.218,.613,9.8,2.3,1.2,0.5
21,Mario Hezonja\hezonma01,01/1/16 ORL @ WAS,20,4,239,4412,633,1530,216,665,189,233,97,674,299,163,66,267,370,1671,.414,.325,.811,18.5,7.0,2.8,1.3
22,Darrun Hilliard\hillida01,01/10/17 DET @ SAC,22,3,91,859,104,276,31,102,56,75,7,85,71,22,3,51,74,295,.377,.304,.747,9.4,3.2,0.9,0.8
23,Rondae Hollis-Jefferson\holliro01,01/1/18 BRK vs. ORL,21,4,192,4663,702,1553,34,150,511,677,263,1160,390,199,118,282,414,1949,.452,.227,.755,24.3,10.2,6.0,2.0
24,Richaun Holmes\holmeri01,01/1/16 PHI @ LAL,22,4,175,2871,521,940,39,152,174,261,245,736,158,88,142,129,367,1255,.554,.257,.667,16.4,7.2,4.2,0.9
25,Marcelo Huertas\huertma01,01/10/16 LAL vs. UTA,32,2,76,1106,122,298,20,80,36,46,20,114,234,36,9,99,92,300,.409,.250,.783,14.6,3.9,1.5,3.1
26,Josh Huestis\huestjo01,01/10/18 OKC @ MIN,24,3,76,1068,71,205,39,125,6,25,48,180,23,16,48,29,85,187,.346,.312,.240,14.1,2.5,2.4,0.3
27,R.J. Hunter\hunterj01,01/15/16 BOS vs. PHO,22,3,44,369,43,119,22,78,8,9,2,43,16,17,4,13,36,116,.361,.282,.889,8.4,2.6,1.0,0.4
28,Damien Inglis\inglida01,01/10/16 MIL @ NYK,20,1,20,156,13,37,3,13,7,8,2,31,10,6,3,11,11,36,.351,.231,.875,7.8,1.8,1.6,0.5
29,Stanley Johnson\johnsst04,01/1/17 DET @ MIA,19,4,236,5359,624,1666,198,665,247,325,139,816,358,226,55,285,504,1693,.375,.298,.760,22.7,7.2,3.5,1.5
30,Nikola Jokic\jokicni01,01/10/16 DEN vs. CHO,20,4,249,6830,1429,2729,209,580,680,818,637,2286,1156,258,182,547,699,3747,.524,.360,.831,27.4,15.0,9.2,4.6
31,Tyus Jones\jonesty01,01/1/17 MIN vs. POR,19,4,199,3179,316,768,99,296,142,177,38,279,551,196,15,140,211,873,.411,.334,.802,16.0,4.4,1.4,2.8
32,Frank Kaminsky\kaminfr01,01/1/16 CHO @ TOR,22,4,244,5580,858,2075,292,842,391,511,177,981,398,121,98,208,367,2399,.413,.347,.765,22.9,9.8,4.0,1.6
33,Sasha Kaun\kaunsa01,01/15/16 CLE @ HOU,30,1,25,95,9,17,0,0,5,11,12,26,3,4,5,7,11,23,.529,,.455,3.8,0.9,1.0,0.1
34,Kevon Looney\looneke01,01/10/18 GSW vs. LAC,19,4,146,1785,223,389,4,18,90,150,182,461,107,56,91,68,230,540,.573,.222,.600,12.2,3.7,3.2,0.7
35,Trey Lyles\lylestr01,01/10/16 UTA @ LAL,20,4,245,4364,706,1614,214,616,250,355,177,980,251,92,78,225,360,1876,.437,.347,.704,17.8,7.7,4.0,1.0
36,Boban Marjanovic\marjabo01,01/10/17 DET @ SAC,27,4,143,1299,297,519,0,1,240,310,187,534,60,32,60,88,157,834,.572,.000,.774,9.1,5.8,3.7,0.4
37,Jarell Martin\martija01,01/10/18 MEM vs. NOP,21,4,155,2726,345,802,44,139,179,233,182,595,105,66,68,139,374,913,.430,.317,.768,17.6,5.9,3.8,0.7
38,T.J. McConnell\mccontj01,01/1/16 PHI @ LAL,23,4,254,5677,692,1451,70,213,136,176,122,752,1242,331,37,425,393,1590,.477,.329,.773,22.4,6.3,3.0,4.9
39,Chris McCullough\mcculch01,01/15/17 BRK vs. HOU,20,3,59,532,78,183,15,49,23,42,41,112,15,30,19,20,54,194,.426,.306,.548,9.0,3.3,1.9,0.3
40,Jordan McRae\mcraejo01,01/10/17 CLE @ UTA,24,3,63,601,93,235,28,75,48,62,10,65,46,11,8,29,48,262,.396,.373,.774,9.5,4.2,1.0,0.7
41,Salah Mejri\mejrisa01,01/10/18 DAL @ CHO,29,4,173,2068,229,358,1,7,103,175,226,689,62,62,165,104,333,562,.640,.143,.589,12.0,3.2,4.0,0.4
42,Jordan Mickey\mickejo01,01/11/17 BOS vs. WAS,21,3,64,482,62,138,2,17,26,43,37,128,17,9,27,28,53,152,.449,.118,.605,7.5,2.4,2.0,0.3
43,Luis Montero\montelu01,01/5/18 DET @ PHI,22,2,14,50,5,20,1,9,3,4,0,6,1,0,0,6,1,14,.250,.111,.750,3.6,1.0,0.4,0.1
44,Emmanuel Mudiay\mudiaem01,01/10/16 DEN vs. CHO,19,4,202,5041,804,2115,190,598,394,540,97,605,830,162,67,477,340,2192,.380,.318,.730,25.0,10.9,3.0,4.1
45,Xavier Munford\munfoxa02,01/20/18 MIL @ PHI,23,2,20,265,33,83,9,25,8,16,4,32,26,14,3,17,29,83,.398,.360,.500,13.3,4.2,1.6,1.3
46,Larry Nance\nancela02,01/1/16 LAL vs. PHI,23,4,209,4509,638,1179,16,70,204,297,413,1245,270,247,112,169,493,1496,.541,.229,.687,21.6,7.2,6.0,1.3
47,Raul Neto\netora01,01/10/16 UTA @ LAL,23,4,166,2389,296,675,94,245,90,118,28,203,293,99,11,165,212,776,.439,.384,.763,14.4,4.7,1.2,1.8
48,J.J. O'Brien\obriejj01,01/16/16 UTA vs. LAL,23,1,2,6,0,1,0,0,0,0,0,1,0,1,0,0,1,0,.000,,,3.0,0.0,0.5,0.0
49,Jahlil Okafor\okafoja01,01/1/16 PHI @ LAL,20,4,140,3137,728,1416,2,10,266,387,234,716,136,45,128,242,323,1724,.514,.200,.687,22.4,12.3,5.1,1.0
50,Kelly Oubre\oubreke01,01/1/16 WAS vs. ORL,20,4,243,4998,675,1641,229,727,345,439,157,844,174,177,73,196,576,1924,.411,.315,.786,20.6,7.9,3.5,0.7
51,Lamar Patterson\pattela01,01/25/16 ATL @ DEN,24,2,40,435,31,95,13,55,18,25,5,57,45,10,2,27,51,93,.326,.236,.720,10.9,2.3,1.4,1.1
52,Cameron Payne\payneca01,01/10/16 OKC @ POR,21,4,132,2095,309,797,111,330,52,65,39,237,323,89,23,132,207,781,.388,.336,.800,15.9,5.9,1.8,2.4
53,Tibor Pleiss\pleisti01,01/14/16 UTA vs. SAC,26,1,12,82,11,25,0,2,2,2,6,15,2,1,2,8,19,24,.440,.000,1.000,6.8,2.0,1.3,0.2
54,Bobby Portis\portibo01,01/1/16 CHI vs. NYK,20,4,203,3858,768,1663,131,382,212,290,363,1171,218,93,60,199,338,1879,.462,.343,.731,19.0,9.3,5.8,1.1
55,Kristaps Porzingis\porzikr01,01/1/16 NYK @ CHI,20,3,186,5764,1206,2760,283,785,617,767,305,1317,248,136,378,332,590,3312,.437,.361,.804,31.0,17.8,7.1,1.3
56,Norman Powell\powelno01,01/1/17 TOR @ LAL,22,4,206,3319,494,1151,154,470,207,259,58,421,228,123,41,176,314,1349,.429,.328,.799,16.1,6.5,2.0,1.1
57,Willie Reed\reedwi02,01/1/17 MIA vs. DET,25,3,152,1885,319,539,2,6,111,198,213,575,46,33,99,66,240,751,.592,.333,.561,12.4,4.9,3.8,0.3
58,Josh Richardson\richajo01,01/1/17 MIA vs. DET,22,4,206,6109,866,1998,312,813,291,364,143,643,509,243,152,284,505,2335,.433,.384,.799,29.7,11.3,3.1,2.5
59,Terry Rozier\roziete01,01/10/17 BOS @ TOR,21,4,214,4112,560,1490,243,685,191,249,134,747,443,146,36,159,248,1554,.376,.355,.767,19.2,7.3,3.5,2.1
60,D'Angelo Russell\russeda01,01/1/16 LAL vs. PHI,19,4,212,5892,1163,2831,405,1169,423,560,118,768,934,240,53,568,400,3154,.411,.346,.755,27.8,14.9,3.6,4.4
61,Jonathon Simmons\simmojo02,01/1/17 SAS @ ATL,26,4,221,4643,700,1570,126,394,389,509,107,544,401,137,57,297,461,1915,.446,.320,.764,21.0,8.7,2.5,1.8
62,Alex Stepheson\stephal01,02/20/16 LAC vs. GSW,28,1,8,73,9,27,0,0,4,12,19,28,2,1,5,0,12,22,.333,,.333,9.1,2.8,3.5,0.3
63,Edy Tavares\tavarwa01,01/23/16 ATL @ PHO,23,2,13,101,15,24,0,0,3,11,11,32,4,1,12,7,11,33,.625,,.273,7.8,2.5,2.5,0.3
64,Axel Toupane\toupaax01,03/1/17 MIL vs. DEN,23,2,25,352,30,79,14,44,13,17,8,32,15,8,7,6,46,87,.380,.318,.765,14.1,3.5,1.3,0.6
65,Karl-Anthony Towns\townska01,01/1/17 MIN vs. POR,20,4,267,9283,2223,4126,289,744,1009,1201,830,3133,626,194,390,628,847,5744,.539,.388,.840,34.8,21.5,11.7,2.3
66,Myles Turner\turnemy01,01/1/17 IND vs. ORL,19,4,226,6280,1106,2227,106,317,531,681,324,1452,265,146,430,301,660,2849,.497,.334,.780,27.8,12.6,6.4,1.2
67,Rashad Vaughn\vaughra01,01/10/16 MIL @ NYK,19,3,139,1671,161,478,83,265,18,26,18,158,75,53,29,48,120,423,.337,.313,.692,12.0,3.0,1.1,0.5
68,Briante Weber\weberbr01,01/12/18 HOU @ PHO,23,3,45,611,58,142,5,26,22,30,24,86,64,39,9,32,56,143,.408,.192,.733,13.6,3.2,1.9,1.4
69,Alan Williams\willial03,01/16/17 PHO vs. UTA,23,3,62,846,155,309,0,1,85,135,111,352,36,36,38,50,153,395,.502,.000,.630,13.6,6.4,5.7,0.6
70,Justise Winslow\winslju01,01/11/16 MIA @ GSW,19,4,180,4976,534,1320,102,324,202,307,186,950,388,163,70,239,417,1372,.405,.315,.658,27.6,7.6,5.3,2.2
71,Christian Wood\woodch01,01/31/17 CHO @ POR,20,3,35,281,41,90,6,20,27,40,30,79,7,8,13,11,24,115,.456,.300,.675,8.0,3.3,2.3,0.2
72,Delon Wright\wrighde01,01/1/18 TOR vs. MIL,23,4,140,2386,325,715,84,227,178,220,81,319,313,116,53,134,135,912,.455,.370,.809,17.0,6.5,2.3,2.2
73,Joe Young\youngjo01,01/1/17 IND vs. ORL,23,3,127,1077,168,427,40,135,53,69,19,130,119,33,1,64,74,429,.393,.296,.768,8.5,3.4,1.0,0.9
