Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Cliff Alexander\alexacl01,03/28/16 POR vs. SAC,20,1,8,36,5,10,0,0,0,0,2,6,0,1,2,1,1,10,.500,,,4.5,1.3,0.8,0.0
2,Justin Anderson\anderju01,01/11/18 PHI vs. BOS,22,4,172,2430,351,832,114,386,178,227,112,472,121,78,56,108,213,994,.422,.295,.784,14.1,5.8,2.7,0.7
3,Thanasis Antetokounmpo\antetth01,01/29/16 NYK vs. PHO,23,1,2,6,3,4,0,1,0,0,0,1,0,0,0,0,2,6,.750,.000,,3.0,3.0,0.5,0.0
4,Keith Appling\applike01,01/18/16 ORL @ ATL,23,1,5,27,2,8,0,3,2,2,0,1,1,1,0,3,5,6,.250,.000,1.000,5.4,1.2,0.2,0.2
5,Nemanja Bjelica\bjeline01,01/1/17 MIN vs. POR,27,4,212,4127,517,1121,214,552,141,188,181,840,290,139,70,187,505,1389,.461,.388,.750,19.5,6.6,4.0,1.4
6,Devin Booker\bookede01,01/12/16 PHO @ IND,19,4,225,7321,1577,3690,437,1214,947,1117,108,743,843,184,56,669,696,4538,.427,.360,.848,32.5,20.2,3.3,3.7
7,Anthony Brown\brownan02,01/1/16 LAL vs. PHI,23,3,41,762,58,177,28,98,17,20,17,103,28,19,6,21,49,161,.328,.286,.850,18.6,3.9,2.5,0.7
8,Willie Cauley-Stein\caulewi01,01/11/18 SAC vs. LAC,22,4,234,5444,961,1833,4,17,369,591,394,1363,333,199,187,249,543,2295,.524,.235,.624,23.3,9.8,5.8,1.4
9,Rakeem Christmas\chrisra01,01/29/17 IND vs. HOU,24,2,30,225,21,45,0,0,21,29,27,57,4,3,6,8,38,63,.467,,.724,7.5,2.1,1.9,0.1
10,Coty Clarke\clarkco01,03/15/16 BOS @ IND,23,1,3,6,2,4,2,2,0,0,0,1,0,0,0,1,0,6,.500,1.000,,2.0,2.0,0.3,0.0
11,Pat Connaughton\connapa01,01/1/18 POR @ CHI,23,4,172,2252,261,611,116,323,61,76,78,320,157,38,35,78,171,699,.427,.359,.803,13.1,4.1,1.9,0.9
12,Branden Dawson\dawsobr01,01/2/16 LAC vs. PHI,22,1,6,29,2,5,0,0,1,1,2,4,0,0,1,0,2,5,.400,,1.000,4.8,0.8,0.7,0.0
13,Bryce Dejean-Jones\dejeabr01,01/21/16 NOP vs. DET,23,1,14,279,28,69,12,32,11,21,8,48,15,10,2,11,17,79,.406,.375,.524,19.9,5.6,3.4,1.1
