,,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,,,,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P,FT%,MP,PS/G,TRB,AST
10,Jordan Bell\belljo01,01/10/18 GSW vs. LAC,23,2,78,1056,137,220,0,5,42,61,72,261,128,47,74,59,123,316,.623,.000,.689,13.5,4.1,3.3,1.6
11,Khem Birch\birchkh01,01/16/18 ORL vs. MIN,25,2,49,618,73,134,0,0,42,61,73,191,35,19,21,23,60,188,.545,,.689,12.6,3.8,3.9,0.7
12,Jabari Bird\birdja01,03/18/18 BOS @ NOP,23,1,13,115,15,26,3,7,6,13,6,19,8,3,1,8,7,39,.577,.429,.462,8.8,3.0,1.5,0.6
13,Antonio Blakeney\blakean01,01/31/18 CHI @ POR,21,2,40,698,138,338,41,109,51,72,8,77,32,14,5,31,37,368,.408,.376,.708,17.5,9.2,1.9,0.8
14,Bogdan Bogdanovic\bogdabo01,01/11/18 SAC vs. LAC,25,2,87,2399,390,878,148,380,114,134,34,248,283,77,16,135,190,1042,.444,.389,.851,27.6,12.0,2.9,3.3
15,Chris Boucher\bouchch01,03/14/18 GSW vs. LAL,25,2,4,13,4,9,1,5,4,6,3,8,0,0,3,0,2,13,.444,.200,.667,3.3,3.3,2.0,0.0
16,Tony Bradley\bradlto01,03/7/18 UTA @ IND,20,1,9,29,3,11,0,1,2,2,4,11,1,0,0,0,1,8,.273,.000,1.000,3.2,0.9,1.2,0.1
17,Dillon Brooks\brookdi01,01/10/18 MEM vs. NOP,22,2,93,2558,367,838,101,283,138,184,55,280,145,81,21,133,263,973,.438,.357,.750,27.5,10.5,3.0,1.6
18,Sterling Brown\brownst02,01/10/18 MIL vs. ORL,22,2,67,883,98,241,36,109,26,31,34,163,32,32,14,33,94,258,.407,.330,.839,13.2,3.9,2.4,0.5
19,Thomas Bryant\bryanth01,01/21/18 LAL vs. NYK,20,2,25,169,27,55,2,19,13,19,13,43,13,3,9,6,12,69,.491,.105,.684,6.8,2.8,1.7,0.5
20,Alex Caruso\carusal01,01/1/18 LAL @ MIN,23,1,37,562,50,116,13,43,21,30,15,65,75,23,10,42,52,134,.431,.302,.700,15.2,3.6,1.8,2.0
21,Tyler Cavanaugh\cavanty01,01/10/18 ATL @ DEN,23,1,39,518,67,152,32,89,17,21,45,127,27,9,4,14,61,183,.441,.360,.810,13.3,4.7,3.3,0.7
22,Gian Clavell\clavegi01,10/20/17 DAL vs. SAC,24,1,7,64,6,18,6,15,2,2,1,7,3,2,0,2,8,20,.333,.400,1.000,9.1,2.9,1.0,0.4
23,Antonius Cleveland\clevean01,04/10/18 ATL vs. PHI,23,1,17,123,8,21,3,4,4,6,3,14,2,7,5,7,23,23,.381,.750,.667,7.2,1.4,0.8,0.1
24,John Collins\collijo01,01/10/18 ATL @ DEN,20,2,80,1934,351,604,18,57,148,205,185,574,115,47,83,119,234,868,.581,.316,.722,24.2,10.9,7.2,1.4
25,Zach Collins\colliza01,01/1/18 POR @ CHI,20,2,86,1444,176,406,49,151,60,80,70,308,73,24,53,89,196,461,.433,.325,.750,16.8,5.4,3.6,0.8
26,Kyle Collinsworth\colliky01,01/16/18 DAL @ DEN,26,1,32,480,38,99,4,17,21,40,32,107,56,17,9,24,44,101,.384,.235,.525,15.0,3.2,3.3,1.8
27,Charles Cooke\cookech01,02/12/18 NOP @ DET,23,1,13,38,2,14,1,8,1,2,0,2,1,1,0,1,0,6,.143,.125,.500,2.9,0.5,0.2,0.1
28,Matt Costello\costema01,01/11/18 SAS @ LAL,24,1,4,32,2,4,0,0,0,0,1,9,2,2,2,1,7,4,.500,,,8.0,1.0,2.3,0.5
29,Torrey Craig\craigto01,01/10/18 DEN vs. ATL,27,2,55,895,86,200,22,88,28,44,64,186,33,19,22,31,95,222,.430,.250,.636,16.3,4.0,3.4,0.6
